0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,


0.2,SansBody,handDown,,,,,,,
0,SansSlam,1,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0,sound,ding,,,,,,,
0,HeartMode,0,,,,,,,
0,BoneStab,0,10,0.4,99,,,,
0,BoneStab,1,10,0.4,99,,,,
0,BoneStab,2,10,0.4,99,,,,
0,BoneStab,3,10,0.4,99,,,,
0.4,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,0,0,239,$gg,0,0.4,0.3
0,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,630,0,404,$gg,180,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,0,$gg,226,90,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,465,$gg,391,270,0.4,0.3
0.78,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,0,0,239,$gg,0,0.4,0.3
0,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,630,0,404,$gg,180,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,0,$gg,226,90,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,465,$gg,391,270,0.4,0.3
0.78,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,0,0,239,$gg,0,0.4,0.3
0,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,630,0,404,$gg,180,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,0,$gg,226,90,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,465,$gg,391,270,0.4,0.3
0.78,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,0,0,239,$gg,0,0.4,0.3
0,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,630,0,404,$gg,180,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,0,$gg,226,90,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,465,$gg,391,270,0.4,0.3
0.78,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,0,0,239,$gg,0,0.4,0.3
0,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,630,0,404,$gg,180,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,0,$gg,226,90,0.4,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,465,$gg,391,270,0.4,0.3
0.78,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,0,0,239,$gg,0,0.8,0.3
0,RND,gg,130,,,,,,
0,add,gg,$gg,243.5,,,,,
0,GasterBlaster,0,630,0,404,$gg,180,0.8,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,0,$gg,226,90,0.8,0.3
0,RND,gg,150,,,,,,
0,add,gg,$gg,244,,,,,
0,GasterBlaster,0,300,465,$gg,391,270,0.8,0.3
1.5,BoneStab,0,70,0.6,99,,,,
0,BoneStab,1,70,0.6,99,,,,
0,BoneStab,2,70,0.6,99,,,,
0,BoneStab,3,70,0.6,99,,,,
2,EndAttack,,,,,,,,
