0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,GasterBlaster,2,550,0,550,120,90,0.4,1
1,sound,heartsplit,,,,,,,
0,MercyXY,999,999,,,,,,
1,BlackScreen,1,,,,,,,
0.4,BlackScreen,0,,,,,,,
,,,,,,,,,
0,SansBody,handdown,,,,,,,
0,SansSlam,1,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0,BoneStab,1,50,0.4,12,,,,
0.1,PurplePlatform,320,324,50,2,80,1,,
1,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0.4,BoneStab,3,40,0.4,1,,,,
0.9,SansSlam,1,,,,,,,
0,SansBody,handdown,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0.4,SansSlam,2,,,,,,,
0,SansBody,handdown,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0.1,BoneStab,2,40,0.4,0.4,,,,
0.3,SansSlam,1,,,,,,,
0,SansBody,handdown,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0.4,SansSlam,0,,,,,,,
0,SansBody,handdown,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0.1,BoneStab,0,40,0.4,0.4,,,,
0.3,SansSlam,1,,,,,,,
0,SansBody,handdown,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
0,PurplePlatform,320,324,50,0,80,1,,
0.8,SineBones,80,-20,300,28,,,,
5.5,SansSlam,1,,,,,,,
0,SansBody,handdown,,,,,,,
0.4,SansAnimation,Idle,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,GasterBlaster,0,0,246,189,246,0,0.333,0.3
0,GasterBlaster,0,259,480,259,166,90,0.333,0.3
0,GasterBlaster,0,640,366,449,366,180,0.333,0.3
0,GasterBlaster,0,379,0,379,446,270,0.333,0.3
0,GasterBlaster,0,0,480,320,304,45,0.333,0.3
0,GasterBlaster,0,640,480,320,304,135,0.333,0.3
0,GasterBlaster,0,640,0,320,304,225,0.333,0.3
0,GasterBlaster,0,0,0,320,304,315,0.333,0.3
1,EndAttack,,,,,,,,
0,sanshead,noeyes,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GasterBlaster,1,-40,450,625,450,180,0.6,0.23333
2,JMPNZ,54,$Loop,,,,,,
