0,SET,Loop,6,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,rnd,sb,9,,,,,,
0,jmpe,27,$sb,1,,,,,
0,jmpe,44,$sb,2,,,,,
0,jmpe,60,$sb,3,,,,,
0,jmpe,75,$sb,4,,,,,
0,jmpe,93,$sb,5,,,,,
0,jmpe,109,$sb,6,,,,,
0,jmpe,125,$sb,7,,,,,
0,jmpe,141,$sb,8,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,121,276,40,0,200,5,15,
0,BoneVRepeat,526,276,40,2,300,10,15,
0.2,GasterBlaster,0,330,0,330,166,90,0,0
0.5,BoneStab,1,65,0.6,1,,,,
0,BoneStab,3,10,0.6,1,,,,
1,jmpabs,157,,,,,,,
,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
,,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,121,276,40,0,300,10,15,
0,BoneVRepeat,526,276,40,2,200,5,15,
0.2,GasterBlaster,0,330,0,330,166,90,0,0
0.5,BoneStab,1,65,0.6,1,,,,
0,BoneStab,3,10,0.6,1,,,,
1,jmpabs,157,,,,,,,
,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,344,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,121,314,50,0,200,5,15,
0,BoneVRepeat,526,314,50,2,300,10,15,
0.2,GasterBlaster,0,330,0,330,166,90,0,0
0.6,BoneStab,3,35,0.6,1,,,,
1,jmpabs,157,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,344,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneVRepeat,121,314,50,0,300,10,15,
0,BoneVRepeat,526,314,50,2,200,5,15,
0.2,GasterBlaster,0,330,0,330,166,90,0,0
0.6,BoneStab,3,35,0.6,1,,,,
1,jmpabs,157,,,,,,,
,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,121,246,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,344,,,,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneV,121,300,90,0,180,,,
0,BoneV,526,300,90,2,180,,,
0,PurplePlatform,121,314,80,0,180,,,
0,PurplePlatform,458,314,80,2,180,,,
0,BoneV,201,246,75,0,180,,,
0,BoneV,458,246,75,2,180,,,
0,BoneV,121,246,40,0,180,,,
0,BoneV,526,246,40,2,180,,,
1.7,jmpabs,157,,,,,,,
,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,171,246,476,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,310,,,,,,
0,Platform,309,318.5,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,Platform,171,276,50,0,0,,,
0,Platform,171,354,50,0,0,,,
0,Platform,426,276,50,0,0,,,
0,Platform,426,354,50,0,0,,,
0,BoneStab,0,255,1.2,1,,,,
0,BoneStab,1,115,1.2,1,,,,
1.8,jmpabs,157,,,,,,,
,,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,CombatZoneResizeInstant,171,246,476,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,310,,,,,,
0,Platform,309,318.5,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,Platform,171,276,50,0,0,,,
