0,CombatZoneResize,121,186,526,391,TLResume,,,
0,CombatZoneSpeed,480,304,,,,,,
0,HeartTeleport,320,304,,,,,,
,,,,,,,,,
0,HeartMode,1,15,,,,,,
0.4,bonevRepeat,526,361,30,2,250,12,250,
0,bonevRepeat,541,356,35,2,250,12,250,
0,bonevRepeat,556,351,40,2,250,12,250,
0,bonevRepeat,571,346,45,2,250,12,250,
0,bonevRepeat,586,341,50,2,250,12,250,
0,bonevRepeat,601,346,45,2,250,12,250,
0,bonevRepeat,616,351,40,2,250,12,250,
0,bonevRepeat,631,356,35,2,250,12,250,
0,bonevRepeat,646,361,30,2,250,12,250,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,bonevRepeat,121,186,30,0,250,12,250,
0,bonevRepeat,106,186,35,0,250,12,250,
0,bonevRepeat,91,186,40,0,250,12,250,
0,bonevRepeat,76,186,45,0,250,12,250,
0,bonevRepeat,61,186,50,0,250,12,250,
0,bonevRepeat,46,186,45,0,250,12,250,
0,bonevRepeat,31,186,40,0,250,12,250,
0,bonevRepeat,16,186,35,0,250,12,250,
0,bonevRepeat,1,186,30,0,250,12,250,
0,JMPNG,27,$EndY,440,,,,,
0,bonehRepeat,526,284,30,2,300,24,150,
1,SansBody,handup,$EndX,$EndY,$HeartX,$HeartY,,,
0,SansSlam,3,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333
0.4,SansAnimation,Idle,HeartY1,,,,,,
1,SansBody,handdown,$EndX1,$HeartX1,,,,,
0,SansSlam,1,$EndY1,$HeartY1,,,,,
0.4,SansAnimation,Idle,$X1,$HeartX1,,,,,
3,SansBody,handup,$Y1,$HeartY1,,,,,
0,SansSlam,3,$EndX1,50,,,,,
0.4,SansAnimation,Idle,50,,,,,,
1,SansBody,handdown,$EndX1,590,,,,,
0,SansSlam,1,590,,,,,,
0.4,SansAnimation,Idle,$EndY1,40,,,,,
2,SansBody,handup,40,,,,,,
0,SansSlam,3,$EndY1,440,,,,,
0.4,SansAnimation,Idle,440,,,,,,
1,SansBody,handdown,$EndX1,$EndY1,$HeartX1,$HeartY1,,,
0,SansSlam,1,$X1,$Y1,$EndX1,$EndY1,$Ang1,0.46666,0.03333
0.4,SansAnimation,Idle,HeartY2,,,,,,
0,ADD,EndX,$EndX2,$HeartX2,,,,,
0,ADD,EndY,$EndY2,$HeartY2,,,,,
0,ADD,X,$X2,$HeartX2,,,,,
0,ADD,Y,$Y2,$HeartY2,,,,,
0,JMPNL,51,$EndX2,50,,,,,
0,SET,EndX2,50,,,,,,
0,JMPNG,53,$EndX2,590,,,,,
0,SET,EndX2,590,,,,,,
0,JMPNL,55,$EndY2,40,,,,,
0,SET,EndY2,40,,,,,,
0,JMPNG,57,$EndY2,440,,,,,
0,SET,EndY2,440,,,,,,
0,ANGLE,Ang2,$EndX2,$EndY2,$HeartX2,$HeartY2,,,
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,0.46666,0.03333
0.53333,JMPNZ,6,$Loop,,,,,,
1.4,EndAttack,,,,,,,,
