0,CombatZoneResizeinstant,121,186,526,391,,,,
0,HeartTeleport,320,324,,,,,,
0,HEARTMODE,0,,,,,,,
0,SET,Loop,16,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,rnd,初始坐标x,640,,,,,,
0,rnd,初始坐标y,480,,,,,,
0,rnd,最终坐标x,640,,,,,,
0,rnd,最终坐标y,480,,,,,,
0,rnd,初始坐标x1,640,,,,,,
0,rnd,初始坐标y1,480,,,,,,
0,rnd,最终坐标x1,640,,,,,,
0,rnd,最终坐标y1,480,,,,,,
0,rnd,初始坐标x2,640,,,,,,
0,rnd,初始坐标y2,480,,,,,,
0,rnd,最终坐标x2,640,,,,,,
0,rnd,最终坐标y2,480,,,,,,
0,ANGLE,Ang,$最终坐标x,$最终坐标y,$HeartX,$HeartY,,,
0,ANGLE,Ang1,$最终坐标x1,$最终坐标y1,$HeartX,$HeartY,,,
0,ANGLE,Ang2,$最终坐标x2,$最终坐标y2,$HeartX,$HeartY,,,
0,gasterblaster,1,$初始坐标x,$初始坐标y,$最终坐标x,$最终坐标y,$Ang,0.4,0.2
0,gasterblaster,1,$初始坐标x1,$初始坐标y1,$最终坐标x1,$最终坐标y1,$Ang1,0.4,0.2
0,gasterblaster,1,$初始坐标x2,$初始坐标y2,$最终坐标x2,$最终坐标y2,$Ang2,0.4,0.2
0.4,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
,,,,,,,,,
0,rnd,最终坐标x3,640,,,,,,
0,rnd,最终坐标y3,480,,,,,,
0,rnd,最终坐标x4,640,,,,,,
0,rnd,最终坐标y4,480,,,,,,
0,rnd,最终坐标x5,640,,,,,,
0,rnd,最终坐标y5,480,,,,,,
0,ANGLE,Ang3,$最终坐标x3,$最终坐标y3,$HeartX,$HeartY,,,
0,ANGLE,Ang4,$最终坐标x4,$最终坐标y4,$HeartX,$HeartY,,,
0,ANGLE,Ang5,$最终坐标x5,$最终坐标y5,$HeartX,$HeartY,,,
0,gasterblaster,1,$最终坐标x,$最终坐标y,$最终坐标x3,$最终坐标y3,$Ang3,0,0.2
0,gasterblaster,1,$最终坐标x1,$最终坐标y1,$最终坐标x4,$最终坐标y4,$Ang4,0,0.2
0,gasterblaster,1,$最终坐标x2,$最终坐标y2,$最终坐标x5,$最终坐标y5,$Ang5,0,0.2
0,JMPNZ,5,$Loop,,,,,,
1,EndAttack,,,,,,,,
0,SANSHEAD,noeyes,,,,,,,
0.6,SET,Loop,999,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,GasterBlaster,1,-40,450,625,450,180,0.6,0.23333
2,JMPNZ,44,$Loop,,,,,,
